transaction_id,customer_id,amount,payment_method,bank,card_type,hour_of_day,day_of_week,is_weekend,customer_tenure_days,prior_failed_attempts_30d,network_latency_ms,retry_attempt_number,device_type,failure_reason,failed,retry_success
43,4669,1862.4,wallet,ICICI,debit,14,1,0,10,1,186.9,2,desktop,no_failure,0,
44,2363,1567.18,upi,IDFC,credit,4,2,0,1236,0,122.9,1,desktop,expired_card,1,0.0
45,453,179.25,upi,AXIS,credit,7,5,1,902,2,87.1,3,desktop,no_failure,0,
46,6470,1938.46,card,HDFC,debit,14,2,0,704,0,173.0,1,desktop,no_failure,0,
47,2971,1458.26,upi,IDFC,credit,5,1,0,614,1,245.4,3,mobile,bank_server_error,1,1.0
48,5953,3135.02,upi,KOTAK,credit,2,4,0,238,1,155.2,3,mobile,no_failure,0,
49,4519,436.69,card,HDFC,credit,20,6,1,837,0,88.6,2,mobile,no_failure,0,
50,5188,1586.68,card,SBI,credit,0,3,0,1433,1,80.1,3,mobile,no_failure,0,
51,5065,890.2,netbanking,IDFC,credit,10,5,1,1013,0,411.1,1,desktop,bank_server_error,1,1.0
52,1298,206.6,wallet,SBI,debit,14,3,0,1,0,160.4,1,mobile,no_failure,0,
53,2426,135.78,upi,IDFC,debit,22,1,0,76,1,132.0,2,desktop,invalid_otp,1,0.0
54,3111,3576.07,card,AXIS,debit,23,5,1,1343,0,105.5,1,mobile,no_failure,0,
55,3318,1590.59,card,HDFC,credit,3,2,0,44,1,59.4,3,mobile,no_failure,0,
56,292,1117.27,card,KOTAK,credit,2,2,0,325,0,326.6,2,desktop,no_failure,0,
57,3643,282.9,netbanking,HDFC,debit,23,4,0,633,0,194.9,2,mobile,no_failure,0,
58,1029,3432.13,card,KOTAK,credit,23,0,0,1482,1,204.2,3,mobile,no_failure,0,
59,4955,699.71,card,HDFC,credit,5,4,0,612,1,174.5,1,mobile,no_failure,0,
60,4553,1647.66,upi,KOTAK,credit,12,5,1,154,1,125.4,2,desktop,no_failure,0,
61,6149,1414.41,upi,ICICI,credit,11,5,1,1448,1,86.1,1,mobile,no_failure,0,
62,4964,4558.25,netbanking,ICICI,debit,19,2,0,36,0,48.1,2,mobile,insufficient_funds,1,1.0
63,2444,1291.13,card,ICICI,credit,20,5,1,428,0,210.2,1,mobile,no_failure,0,
64,6449,842.78,card,SBI,credit,14,2,0,82,0,236.4,1,mobile,no_failure,0,
65,2739,1608.85,card,KOTAK,debit,18,2,0,872,1,252.5,3,desktop,no_failure,0,
66,2172,1742.06,upi,IDFC,debit,9,0,0,465,1,313.2,1,mobile,bank_server_error,1,1.0
67,6036,6720.26,card,KOTAK,credit,14,4,0,237,1,149.6,3,desktop,insufficient_funds,1,1.0
68,2470,1273.95,upi,KOTAK,credit,3,0,0,1260,1,827.9,2,mobile,bank_server_error,1,1.0
69,509,421.75,upi,YES,debit,4,6,1,963,1,127.5,3,desktop,no_failure,0,
70,3130,971.84,card,AXIS,credit,15,1,0,789,0,54.4,3,desktop,no_failure,0,
71,5304,1606.13,card,HDFC,credit,1,1,0,994,0,166.4,1,mobile,no_failure,0,
72,1263,1832.17,netbanking,ICICI,credit,22,2,0,433,0,102.8,3,desktop,no_failure,0,
73,3086,253.49,upi,IDFC,debit,1,2,0,854,0,386.6,2,mobile,bank_server_error,1,1.0
74,866,876.1,upi,YES,debit,7,4,0,356,0,703.7,3,mobile,bank_server_error,1,1.0
75,4576,4380.28,card,IDFC,credit,11,4,0,430,1,194.1,3,desktop,insufficient_funds,1,0.0
76,3171,579.0,card,ICICI,debit,10,0,0,86,0,85.1,3,mobile,no_failure,0,
77,2201,2450.29,card,ICICI,credit,15,3,0,1482,0,178.0,2,mobile,no_failure,0,
78,1513,999.78,netbanking,IDFC,credit,11,2,0,1381,1,165.8,3,mobile,insufficient_funds,1,0.0
79,3763,1333.82,card,IDFC,credit,11,3,0,1009,3,651.7,1,mobile,bank_server_error,1,1.0
80,4465,292.24,card,AXIS,debit,2,4,0,793,1,480.2,2,mobile,bank_server_error,1,0.0
81,6268,1082.06,wallet,IDFC,credit,5,6,1,1017,1,230.0,2,desktop,no_failure,0,
82,2914,1591.2,upi,KOTAK,prepaid,0,5,1,1205,0,336.2,1,mobile,no_failure,0,
83,1071,1286.68,card,YES,debit,16,3,0,272,1,96.8,2,desktop,no_failure,0,
84,5550,1138.29,card,ICICI,credit,21,2,0,269,1,84.6,3,desktop,no_failure,0,
85,4198,2011.5,card,KOTAK,credit,11,4,0,967,2,78.1,2,mobile,no_failure,0,
86,4668,379.99,upi,ICICI,debit,17,1,0,1400,1,304.1,1,mobile,no_failure,0,
87,649,1647.89,wallet,YES,credit,22,1,0,1014,0,42.5,1,mobile,no_failure,0,
88,2082,120.97,card,ICICI,credit,23,6,1,350,0,222.3,1,mobile,no_failure,0,
89,5118,2942.16,card,YES,credit,0,3,0,680,1,78.8,3,desktop,no_failure,0,
90,5548,1169.63,card,AXIS,debit,21,5,1,248,0,81.5,2,desktop,no_failure,0,
91,2901,2335.21,card,KOTAK,debit,13,4,0,47,2,46.3,2,mobile,no_failure,0,
92,5364,30.58,upi,KOTAK,debit,21,2,0,859,2,119.2,2,mobile,no_failure,0,
93,5610,2104.52,card,IDFC,debit,18,1,0,726,0,99.8,1,mobile,no_failure,0,
94,2583,677.57,wallet,AXIS,credit,4,3,0,154,0,66.1,3,mobile,no_failure,0,
95,5986,1340.8,card,SBI,credit,22,6,1,835,3,129.7,3,mobile,no_failure,0,
96,1922,2128.79,upi,YES,credit,12,5,1,1084,0,73.2,1,mobile,no_failure,0,
97,1597,1245.19,upi,SBI,credit,13,5,1,1338,1,97.6,2,mobile,no_failure,0,
98,4549,1949.34,upi,ICICI,credit,9,2,0,1400,1,180.3,2,mobile,no_failure,0,
99,4245,1012.12,netbanking,KOTAK,debit,19,5,1,693,0,203.0,3,desktop,bank_server_error,1,1.0
100,932,3103.52,upi,IDFC,prepaid,15,1,0,885,1,645.4,2,desktop,bank_server_error,1,1.0
101,5551,1167.02,upi,KOTAK,debit,15,1,0,380,0,296.5,3,mobile,no_failure,0,
102,1333,1186.05,upi,KOTAK,credit,19,0,0,1087,3,67.3,1,mobile,no_failure,0,
103,5365,1203.79,upi,ICICI,debit,14,2,0,725,2,555.6,2,mobile,bank_server_error,1,1.0
104,50,1312.03,card,SBI,credit,23,1,0,611,2,222.9,1,mobile,no_failure,0,
105,5311,399.8,upi,KOTAK,debit,13,0,0,1195,2,75.7,3,desktop,no_failure,0,
106,5245,561.68,netbanking,AXIS,debit,1,5,1,739,1,534.3,3,mobile,bank_server_error,1,0.0
107,5202,2582.07,upi,IDFC,credit,4,1,0,613,1,171.6,2,mobile,insufficient_funds,1,0.0
108,4432,2334.25,netbanking,AXIS,credit,17,6,1,274,0,307.3,3,mobile,no_failure,0,
109,3143,2229.57,wallet,KOTAK,debit,21,4,0,901,0,326.9,2,mobile,no_failure,0,
110,4700,1822.23,card,YES,prepaid,18,2,0,596,0,194.5,3,mobile,risk_declined,1,1.0
111,1848,858.57,upi,KOTAK,credit,8,4,0,365,0,82.0,2,desktop,no_failure,0,
112,5204,784.88,netbanking,SBI,debit,19,6,1,853,1,367.7,2,mobile,no_failure,0,
113,3704,1269.14,card,YES,debit,5,5,1,93,1,306.3,3,mobile,no_failure,0,
114,3059,2864.97,card,KOTAK,credit,6,6,1,506,0,245.4,2,mobile,no_failure,0,
115,3370,1523.8,card,AXIS,credit,16,4,0,639,1,69.8,1,mobile,no_failure,0,
116,3791,535.56,netbanking,YES,credit,3,2,0,980,0,56.6,2,desktop,no_failure,0,
117,249,317.56,wallet,YES,credit,18,0,0,1445,0,115.4,1,desktop,no_failure,0,
118,932,2386.09,netbanking,IDFC,credit,9,0,0,675,0,409.2,2,desktop,no_failure,0,
119,1637,3495.45,upi,YES,credit,12,0,0,1152,0,89.5,1,desktop,no_failure,0,
120,764,238.75,upi,HDFC,credit,9,5,1,832,3,104.4,1,mobile,no_failure,0,
121,2931,2442.33,card,KOTAK,credit,19,5,1,541,1,133.2,1,desktop,no_failure,0,
122,4455,1791.08,wallet,KOTAK,debit,19,0,0,37,1,65.6,1,mobile,no_failure,0,
123,4362,657.04,wallet,HDFC,credit,8,1,0,647,0,166.0,2,mobile,no_failure,0,
124,3140,1539.04,upi,SBI,credit,23,0,0,1313,1,63.4,3,desktop,no_failure,0,
125,5700,455.28,card,HDFC,credit,10,6,1,860,0,50.5,3,mobile,no_failure,0,
126,3768,1096.66,wallet,SBI,debit,20,4,0,224,0,60.9,1,mobile,no_failure,0,
127,528,1324.37,netbanking,AXIS,debit,8,4,0,1067,0,308.3,3,mobile,no_failure,0,
128,5099,3083.23,wallet,SBI,debit,5,6,1,1180,0,184.6,3,mobile,expired_card,1,0.0
129,3830,1053.84,upi,YES,debit,21,6,1,248,2,194.4,1,mobile,insufficient_funds,1,1.0
130,4231,723.77,card,SBI,credit,10,0,0,1097,0,53.1,2,mobile,no_failure,0,
131,3769,1692.62,card,SBI,debit,15,3,0,50,0,81.0,2,mobile,no_failure,0,
132,3690,1987.18,upi,AXIS,debit,19,5,1,706,0,272.4,2,desktop,no_failure,0,
133,604,700.49,netbanking,HDFC,credit,9,4,0,1327,1,100.4,1,mobile,expired_card,1,1.0
134,3728,516.03,card,ICICI,prepaid,10,5,1,99,0,155.8,1,mobile,no_failure,0,
135,5299,558.97,upi,KOTAK,credit,23,1,0,518,0,258.2,2,desktop,no_failure,0,
136,2026,3090.62,netbanking,YES,credit,2,1,0,844,1,92.7,1,mobile,expired_card,1,0.0
137,4018,1924.95,card,KOTAK,prepaid,1,6,1,1058,0,228.2,2,mobile,risk_declined,1,0.0
138,206,998.1,upi,YES,debit,11,1,0,252,3,274.0,2,desktop,bank_server_error,1,0.0
139,2317,2743.64,upi,ICICI,credit,22,2,0,184,1,41.5,2,mobile,no_failure,0,
140,2911,695.7,upi,HDFC,credit,17,6,1,1247,0,113.1,2,mobile,no_failure,0,
141,6550,1230.36,upi,YES,debit,1,4,0,1277,0,148.2,1,desktop,no_failure,0,
142,1431,447.84,upi,HDFC,debit,18,1,0,808,3,52.0,2,mobile,risk_declined,1,1.0
143,1844,2661.74,card,IDFC,prepaid,1,5,1,1450,0,73.1,2,mobile,insufficient_funds,1,1.0
144,2723,646.55,upi,SBI,debit,18,2,0,635,0,651.3,2,mobile,bank_server_error,1,1.0
145,6617,659.79,netbanking,HDFC,debit,0,5,1,1072,0,102.6,3,desktop,risk_declined,1,1.0
146,5688,1720.62,card,KOTAK,debit,5,1,0,1045,0,334.3,3,desktop,no_failure,0,
147,232,105.41,card,IDFC,prepaid,12,5,1,240,0,211.6,3,mobile,expired_card,1,0.0
148,1560,354.97,card,KOTAK,debit,12,1,0,1498,0,120.8,1,desktop,no_failure,0,
149,5477,2179.12,upi,YES,credit,9,0,0,79,0,202.4,3,desktop,no_failure,0,
150,389,551.16,card,ICICI,debit,3,3,0,787,1,132.7,3,mobile,invalid_otp,1,0.0
151,5704,5551.48,upi,IDFC,debit,20,1,0,1370,2,75.7,2,mobile,risk_declined,1,0.0
152,1876,1479.03,upi,AXIS,debit,2,1,0,1350,0,60.4,1,desktop,no_failure,0,
153,6117,219.26,upi,YES,credit,20,5,1,768,1,695.2,2,mobile,bank_server_error,1,1.0
154,1957,3614.7,upi,HDFC,credit,20,1,0,41,1,93.9,2,desktop,no_failure,0,
155,2895,1477.8,netbanking,SBI,debit,11,2,0,1003,0,383.1,1,mobile,bank_server_error,1,1.0
156,4412,1119.42,upi,ICICI,prepaid,6,6,1,780,0,50.1,2,mobile,no_failure,0,
157,842,1473.72,netbanking,IDFC,credit,10,2,0,705,1,140.9,2,desktop,no_failure,0,
158,3713,217.11,upi,ICICI,credit,17,2,0,269,1,81.0,2,desktop,no_failure,0,
159,3366,1262.25,card,AXIS,credit,17,1,0,815,0,193.0,1,mobile,no_failure,0,
160,5225,588.44,card,YES,credit,17,2,0,1266,0,253.9,2,mobile,no_failure,0,
161,6640,1201.85,upi,ICICI,debit,3,4,0,1073,1,65.2,3,mobile,no_failure,0,
162,4428,878.22,upi,YES,credit,5,2,0,540,0,99.8,1,mobile,no_failure,0,
163,2728,1416.39,netbanking,KOTAK,prepaid,13,4,0,1361,0,160.3,1,mobile,no_failure,0,
164,2709,997.4,upi,HDFC,credit,1,0,0,750,0,269.2,1,mobile,no_failure,0,
165,2786,831.18,netbanking,ICICI,credit,12,2,0,1226,1,435.4,2,mobile,bank_server_error,1,1.0
166,5426,529.44,card,ICICI,credit,8,2,0,1259,1,140.8,3,desktop,no_failure,0,
167,2141,229.19,upi,ICICI,credit,10,1,0,392,1,134.5,3,mobile,no_failure,0,
168,1113,174.85,card,ICICI,debit,12,4,0,1410,1,263.4,3,mobile,no_failure,0,
169,2229,368.04,card,KOTAK,debit,9,5,1,109,0,182.5,1,mobile,no_failure,0,
170,152,2060.23,upi,AXIS,prepaid,8,1,0,238,0,558.3,2,desktop,bank_server_error,1,1.0
171,708,501.12,card,AXIS,credit,10,2,0,932,1,268.7,2,mobile,no_failure,0,
172,601,716.82,card,HDFC,credit,7,6,1,306,1,246.2,1,mobile,no_failure,0,
173,5143,722.84,card,YES,prepaid,13,3,0,60,2,230.7,2,desktop,risk_declined,1,0.0
174,4815,890.12,wallet,YES,debit,0,6,1,965,2,388.5,3,desktop,bank_server_error,1,0.0
175,4644,1810.75,netbanking,YES,debit,0,3,0,827,0,59.6,1,mobile,no_failure,0,
176,3079,989.33,wallet,KOTAK,credit,13,5,1,1383,0,577.9,2,mobile,bank_server_error,1,1.0
177,4780,2342.09,card,KOTAK,credit,8,2,0,206,0,113.8,1,mobile,no_failure,0,
178,1075,372.57,card,KOTAK,credit,11,4,0,437,0,490.5,3,mobile,no_failure,0,
179,6003,2170.37,card,SBI,credit,9,2,0,340,2,79.8,3,mobile,no_failure,0,
180,3340,3327.78,upi,SBI,credit,21,1,0,615,0,135.7,1,desktop,no_failure,0,
181,6253,1249.54,wallet,AXIS,credit,11,4,0,748,0,202.2,3,mobile,expired_card,1,0.0
182,1016,466.19,card,AXIS,debit,3,3,0,262,0,146.5,2,mobile,no_failure,0,
183,3315,1837.04,upi,ICICI,debit,8,2,0,1181,0,120.7,2,mobile,no_failure,0,
184,4641,1267.02,card,SBI,prepaid,12,3,0,1360,1,266.9,1,mobile,no_failure,0,
185,3304,1606.36,upi,ICICI,credit,6,6,1,1172,1,289.9,1,mobile,bank_server_error,1,1.0
186,2974,2390.55,netbanking,AXIS,debit,12,1,0,1272,1,135.2,2,mobile,no_failure,0,
187,1108,926.94,upi,YES,credit,22,6,1,1258,0,134.8,2,mobile,no_failure,0,
188,2540,807.5,upi,HDFC,debit,12,5,1,882,1,52.7,3,mobile,no_failure,0,
189,1592,6277.23,upi,KOTAK,credit,0,5,1,17,2,171.1,2,mobile,no_failure,0,
190,2010,1854.5,card,ICICI,credit,1,1,0,206,2,196.0,3,mobile,no_failure,0,
191,4557,2688.7,card,AXIS,debit,16,5,1,666,1,153.8,3,mobile,no_failure,0,
192,4201,2293.24,netbanking,HDFC,debit,4,0,0,913,1,128.9,3,mobile,no_failure,0,
193,4047,2712.04,upi,ICICI,credit,15,5,1,683,0,179.3,2,mobile,no_failure,0,
194,2412,1647.61,card,KOTAK,prepaid,0,6,1,849,0,63.7,2,mobile,no_failure,0,
195,6397,2487.07,upi,IDFC,debit,7,6,1,312,0,65.7,1,desktop,no_failure,0,
196,585,720.79,card,YES,credit,5,6,1,592,1,146.8,3,mobile,expired_card,1,0.0
197,2284,222.3,card,IDFC,credit,13,4,0,1308,0,159.9,2,desktop,no_failure,0,
198,787,565.6,card,IDFC,credit,11,4,0,271,1,57.0,2,desktop,expired_card,1,0.0
199,2260,1124.97,netbanking,AXIS,debit,13,4,0,220,2,60.3,3,mobile,insufficient_funds,1,0.0
200,6412,1008.97,card,KOTAK,credit,18,1,0,1465,1,82.5,2,mobile,no_failure,0,
201,2442,1272.69,wallet,AXIS,credit,4,3,0,1037,0,67.9,1,mobile,no_failure,0,
202,6056,683.59,card,IDFC,prepaid,8,0,0,852,1,1027.5,2,desktop,bank_server_error,1,1.0
203,3300,126.96,card,ICICI,prepaid,14,1,0,1405,1,141.5,3,mobile,no_failure,0,
204,4664,905.32,netbanking,SBI,credit,7,0,0,737,0,44.4,2,mobile,no_failure,0,
205,3049,324.75,card,IDFC,debit,3,5,1,1084,1,47.1,1,mobile,no_failure,0,
206,1773,1230.39,netbanking,YES,credit,10,4,0,293,0,400.7,2,desktop,bank_server_error,1,1.0
207,5094,1706.68,upi,HDFC,credit,12,2,0,1418,0,69.6,1,desktop,no_failure,0,
208,6460,890.58,card,ICICI,credit,14,0,0,1168,0,45.4,1,desktop,no_failure,0,
209,1757,437.94,wallet,YES,credit,20,6,1,1337,0,104.2,1,desktop,no_failure,0,
210,5191,1323.94,card,AXIS,debit,16,3,0,1442,1,917.0,1,mobile,bank_server_error,1,1.0
211,1741,6505.0,card,YES,debit,18,6,1,6,0,342.8,3,mobile,bank_server_error,1,1.0
212,4779,1853.88,netbanking,SBI,debit,8,1,0,1323,1,123.5,2,mobile,no_failure,0,
213,5259,1956.03,card,YES,debit,20,3,0,218,2,109.4,2,desktop,no_failure,0,
214,2995,813.61,upi,KOTAK,credit,5,0,0,1339,0,102.4,1,mobile,no_failure,0,
215,4912,605.96,card,AXIS,prepaid,2,4,0,715,0,77.7,2,mobile,no_failure,0,
216,1815,2716.36,wallet,KOTAK,debit,12,5,1,446,0,604.1,1,desktop,bank_server_error,1,1.0
217,529,71.33,card,HDFC,debit,13,5,1,640,0,557.1,3,desktop,no_failure,0,
218,643,664.65,card,YES,debit,15,6,1,313,0,641.6,3,mobile,bank_server_error,1,1.0
219,2980,3847.48,wallet,KOTAK,credit,14,1,0,18,1,461.8,3,mobile,bank_server_error,1,1.0
220,6016,1171.65,upi,ICICI,debit,6,2,0,1264,0,160.1,3,desktop,no_failure,0,
221,851,257.32,upi,HDFC,credit,5,3,0,607,1,42.9,2,desktop,no_failure,0,
222,3038,1744.24,upi,IDFC,credit,1,4,0,276,1,200.8,3,mobile,invalid_otp,1,0.0
223,4693,895.49,upi,AXIS,debit,12,1,0,1218,0,255.8,1,mobile,no_failure,0,
224,1349,193.64,card,SBI,credit,20,0,0,207,0,180.2,1,mobile,expired_card,1,1.0
225,4810,1507.08,upi,IDFC,debit,15,3,0,204,1,290.2,3,mobile,invalid_otp,1,0.0
226,2040,1341.07,card,HDFC,credit,21,1,0,618,0,549.8,1,desktop,bank_server_error,1,1.0
227,5390,1281.63,card,IDFC,prepaid,8,3,0,1061,0,344.5,2,mobile,no_failure,0,
228,3861,1834.58,card,SBI,debit,16,0,0,1415,1,183.2,3,mobile,no_failure,0,
229,3646,409.49,netbanking,YES,credit,10,3,0,1403,0,308.5,2,mobile,bank_server_error,1,1.0
230,1179,1623.71,card,HDFC,credit,18,6,1,1328,0,79.8,2,desktop,no_failure,0,
231,3088,1416.97,upi,YES,credit,3,3,0,1239,0,233.6,3,desktop,no_failure,0,
232,5710,2676.74,upi,KOTAK,credit,23,0,0,501,1,43.1,2,mobile,no_failure,0,
233,131,656.63,card,IDFC,credit,17,1,0,1002,1,464.7,2,desktop,bank_server_error,1,1.0
234,5056,3008.9,card,ICICI,credit,4,4,0,805,0,256.2,2,mobile,no_failure,0,
235,3285,2265.03,card,HDFC,credit,22,0,0,1343,0,51.3,3,desktop,no_failure,0,
236,4796,1135.07,card,YES,debit,4,0,0,444,2,181.5,1,mobile,insufficient_funds,1,1.0
237,4421,1281.01,netbanking,KOTAK,debit,22,0,0,537,0,1142.4,1,mobile,bank_server_error,1,1.0
238,2880,81.53,upi,IDFC,debit,15,5,1,936,2,469.0,3,mobile,bank_server_error,1,0.0
239,2058,1252.9,upi,YES,credit,11,1,0,224,1,54.9,2,mobile,no_failure,0,
240,4182,2154.43,card,KOTAK,prepaid,23,6,1,538,0,121.4,2,mobile,no_failure,0,
241,935,997.54,upi,YES,debit,7,6,1,805,1,412.0,2,mobile,bank_server_error,1,1.0
242,3894,2672.09,card,KOTAK,debit,13,4,0,701,0,337.4,3,mobile,no_failure,0,
243,632,1766.53,card,ICICI,credit,9,5,1,981,0,164.6,2,desktop,no_failure,0,
244,4332,4647.72,upi,SBI,credit,22,0,0,1368,0,190.9,3,mobile,no_failure,0,
245,4191,699.36,upi,ICICI,credit,1,3,0,680,0,140.1,1,desktop,no_failure,0,
246,563,2008.62,card,HDFC,credit,22,3,0,1326,1,290.9,3,mobile,no_failure,0,
247,5049,335.07,card,ICICI,credit,18,1,0,880,1,267.4,2,desktop,bank_server_error,1,1.0
248,2772,1074.34,upi,AXIS,credit,20,2,0,613,0,279.6,2,mobile,no_failure,0,
249,5245,1843.57,card,AXIS,credit,10,1,0,1067,2,144.5,2,mobile,risk_declined,1,0.0
250,278,2099.55,card,SBI,debit,13,3,0,646,0,208.8,1,mobile,no_failure,0,
251,1197,934.36,wallet,IDFC,credit,18,0,0,627,1,78.3,2,desktop,no_failure,0,
252,3293,2875.69,card,SBI,debit,16,0,0,489,1,216.0,3,desktop,no_failure,0,
253,1255,3312.41,upi,AXIS,credit,12,5,1,699,1,202.1,1,mobile,no_failure,0,
254,2199,706.66,netbanking,KOTAK,prepaid,16,6,1,913,0,165.0,3,desktop,no_failure,0,
255,4403,1101.93,card,ICICI,credit,9,3,0,150,0,276.5,3,mobile,no_failure,0,
256,964,1010.41,upi,AXIS,prepaid,11,1,0,1368,0,157.5,3,desktop,no_failure,0,
257,4517,813.05,upi,ICICI,credit,7,2,0,280,0,50.9,3,mobile,no_failure,0,
258,690,3171.89,card,IDFC,credit,3,4,0,72,0,195.8,2,mobile,insufficient_funds,1,1.0
259,1168,3146.93,card,AXIS,credit,13,5,1,627,0,111.9,2,mobile,no_failure,0,
260,3917,1038.78,wallet,YES,debit,1,3,0,539,1,234.8,3,mobile,no_failure,0,
261,5289,2001.53,card,AXIS,debit,4,4,0,522,0,909.4,3,mobile,bank_server_error,1,1.0
262,1138,2650.51,netbanking,KOTAK,credit,0,6,1,1489,0,54.9,1,mobile,no_failure,0,
263,2000,1522.59,upi,HDFC,credit,14,3,0,1205,3,182.6,1,mobile,risk_declined,1,0.0
264,6166,974.79,upi,IDFC,debit,13,5,1,281,0,96.2,3,desktop,no_failure,0,
265,6597,661.94,upi,SBI,debit,9,0,0,986,0,178.5,2,mobile,no_failure,0,
266,3873,2140.86,upi,AXIS,credit,9,6,1,996,0,199.2,3,desktop,no_failure,0,
267,2980,365.95,upi,YES,credit,23,3,0,1149,0,73.9,1,mobile,no_failure,0,
268,2312,996.83,upi,IDFC,prepaid,2,5,1,190,0,258.4,3,mobile,bank_server_error,1,1.0
269,4082,858.9,netbanking,AXIS,credit,19,3,0,1091,1,100.9,2,mobile,no_failure,0,
270,3939,342.08,netbanking,SBI,credit,17,1,0,332,2,182.6,3,mobile,risk_declined,1,0.0
271,1965,1173.49,card,AXIS,prepaid,3,4,0,1369,0,88.5,3,mobile,risk_declined,1,0.0
272,152,1082.87,card,SBI,debit,14,0,0,1333,0,260.3,1,mobile,no_failure,0,
273,1010,541.48,netbanking,SBI,credit,21,1,0,1053,1,194.0,2,mobile,expired_card,1,1.0
274,6389,3089.89,card,YES,credit,11,3,0,1129,1,59.5,3,mobile,no_failure,0,
